bolge,yagis_miktari,dere_seviyesi,zemin_egimi,altyapi_durumu,gecmis_sel_sayisi,nufus_yogunlugu,enlem,boylam,risk_sinifi
Ilkadim Merkez,85,3.2,2,2,4,5,41.2867,36.33,Kritik
Atakum Sahil,45,1.8,4,4,1,4,41.335,36.25,Orta
Tekkekoy Sanayi,30,1.2,3,4,1,3,41.211,36.46,Dusuk
Bafra Ovasi,95,3.5,1,2,5,4,41.568,35.906,Kritik
Carsamba Ovasi,88,3.1,1,2,4,4,41.198,36.721,Kritik
Terme Merkez,78,2.9,1,2,4,3,41.209,36.974,Yuksek
Vezirkopru,25,0.9,5,5,0,2,41.143,35.46,Dusuk
Havza Merkez,35,1.4,4,4,1,2,40.97,35.66,Dusuk
Kavak Merkez,50,1.9,3,3,2,3,41.078,36.042,Orta
Ladik Merkez,40,1.5,4,4,1,2,40.91,35.89,Dusuk
Ayvacik,82,3.0,1,2,4,3,40.98,36.63,Yuksek
Salipazari,76,2.8,1,2,4,3,41.083,36.817,Yuksek
Asarcik,28,1.0,5,5,0,1,41.036,36.235,Dusuk
Yakakent,68,2.5,2,3,3,2,41.632,35.528,Orta
Ondokuzmayis,55,2.1,3,3,2,3,41.511,36.071,Orta
Alacam Merkez,42,1.7,4,4,1,2,41.615,35.606,Dusuk
Merkez,65,2.4,2,3,3,5,41.29,36.32,Yuksek
Sahil,98,3.8,1,1,5,5,41.31,36.34,Kritik
Ilkadim Derebahce,80,2.9,2,2,4,4,41.275,36.325,Yuksek
Ilkadim Kirankoy,40,1.5,4,3,1,3,41.268,36.31,Dusuk
Ilkadim FevziCakmak,55,2.0,3,3,2,4,41.282,36.34,Orta
Ilkadim Catalarmut,62,2.3,3,2,3,3,41.272,36.295,Orta
Canik Haskoy,70,2.5,2,3,3,4,41.285,36.385,Yuksek
Atakum Mimarsinan,35,1.3,4,4,1,4,41.325,36.27,Dusuk
Atakum Yenimahalle,50,2.0,3,4,2,4,41.345,36.23,Orta
Atakum Kurupelit,42,1.6,4,4,1,3,41.365,36.19,Dusuk
Atakum Balaç,30,1.1,5,4,0,2,41.315,36.24,Dusuk
Atakum Taflan,65,2.4,2,3,3,3,41.425,36.12,Orta
Tekkekoy Asarağaç,38,1.4,4,4,1,2,41.225,36.43,Dusuk
Tekkekoy Kutlukent,55,2.1,3,3,2,3,41.23,36.45,Orta
Tekkekoy Kirazlik,75,2.8,2,2,4,4,41.24,36.41,Yuksek
Bafra Fatih,35,1.3,4,4,1,3,41.555,35.915,Dusuk
Bafra KemalPasa,52,2.0,3,3,2,3,41.56,35.895,Orta
Bafra Hacınabi,78,2.9,2,2,4,4,41.57,35.92,Yuksek
Bafra KızılırmakBoyu,99,3.9,1,1,5,3,41.585,35.901,Kritik
